# w_1 w_2 mu_1 mu_2 sigma_1 sigma_2 logL logPrior
7.119688676126230131e-01 2.880311323873769869e-01 3.421063995136902403e+00 -2.823948704262305154e-01 1.550229627497060170e+00 1.899746740226184505e+00 -4.561507197371005532e+03 0.000000000000000000e+00
6.734724719797960946e-01 3.265275280202037944e-01 3.533424528816438759e+00 -2.014755049138885756e-01 1.318255476681053473e+00 1.803127254366272858e+00 -4.561505901808301132e+03 0.000000000000000000e+00
3.877854023079960744e-01 6.122145976920039256e-01 2.203517112815288892e-01 3.683283866056580536e+00 2.524050907098677410e+00 1.297591265792362947e+00 -4.561456946963156952e+03 0.000000000000000000e+00
6.925695813185692717e-01 3.074304186814307838e-01 3.599199830396482724e+00 7.436522946176270243e-03 1.334738780369627120e+00 1.943197593197302897e+00 -4.561449750419004886e+03 0.000000000000000000e+00
7.165274958415573936e-01 2.834725041584424954e-01 3.542563140474015881e+00 -3.939811348777531586e-01 1.512805693397198725e+00 2.029157794781501156e+00 -4.561437802823196762e+03 0.000000000000000000e+00
2.998282005169747855e-01 7.001717994830251035e-01 -1.334446883020643237e-01 3.640027161824913815e+00 1.946452753763344035e+00 1.418551781289910219e+00 -4.561339554878351919e+03 0.000000000000000000e+00
6.316539597119977811e-01 3.683460402880021078e-01 3.633082462311337579e+00 2.700799377936155543e-01 1.395022407868110159e+00 2.422460862717705776e+00 -4.561338021929974275e+03 0.000000000000000000e+00
6.526596519733668389e-01 3.473403480266332166e-01 3.645483906180138955e+00 -1.347236641767535215e-01 1.402463396193268874e+00 2.285574267482517463e+00 -4.561332980885395955e+03 0.000000000000000000e+00
3.669046321717180925e-01 6.330953678282819075e-01 -1.730196668423942818e-01 3.552384007148615019e+00 1.977373723351091739e+00 1.346599521996953319e+00 -4.561305798153293836e+03 0.000000000000000000e+00
7.070373993587570904e-01 2.929626006412429096e-01 3.465457383218125464e+00 -2.616587895870623459e-01 1.558784890193982697e+00 1.856270912204611268e+00 -4.561301092041271659e+03 0.000000000000000000e+00
6.707354332885078207e-01 3.292645667114921793e-01 3.608911888532722489e+00 -4.377653466923608905e-02 1.266849921461586703e+00 1.962230912260332527e+00 -4.561300818691589484e+03 0.000000000000000000e+00
3.064540825394118095e-01 6.935459174605882460e-01 2.158183270445821964e-02 3.634379665448892460e+00 2.179472968384195575e+00 1.371306440640036373e+00 -4.561277668327189531e+03 0.000000000000000000e+00
2.871581931500841733e-01 7.128418068499159377e-01 -4.125886562165352878e-01 3.443069089817016870e+00 1.948260184135231832e+00 1.379120423452729893e+00 -4.561260820071455782e+03 0.000000000000000000e+00
2.980815138911093176e-01 7.019184861088906269e-01 -7.562257267693214824e-02 3.494048034349346299e+00 2.058073903800775373e+00 1.347668819502447102e+00 -4.561255446112467325e+03 0.000000000000000000e+00
2.957868236142180418e-01 7.042131763857819582e-01 -1.324421727754843126e-01 3.492382017852395215e+00 1.809310845508846466e+00 1.392170833952236730e+00 -4.561175618931561985e+03 0.000000000000000000e+00
3.502490826405467161e-01 6.497509173594532284e-01 -2.962317177965585469e-01 3.572321265743759522e+00 2.159725727236122328e+00 1.360725870981225105e+00 -4.561167053472161570e+03 0.000000000000000000e+00
6.603613640044285749e-01 3.396386359955714807e-01 3.629600932474741803e+00 2.574563895414013759e-01 1.322563929337498223e+00 2.315914069760086846e+00 -4.561150799407523664e+03 0.000000000000000000e+00
2.917729829141292863e-01 7.082270170858707692e-01 -3.375288604164751738e-01 3.397609757705280842e+00 1.934781566106422046e+00 1.432651264637466726e+00 -4.561142163312918456e+03 0.000000000000000000e+00
3.565656778832931306e-01 6.434343221167067028e-01 -2.698379671966060767e-01 3.591427940099948923e+00 1.965140894655517778e+00 1.406924530299219267e+00 -4.561140680808170146e+03 0.000000000000000000e+00
